service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
7,1,1,1,1,0,0,0,20141113,20150331
6,0,0,0,0,1,0,0,20141113,20150331
5,0,0,0,0,0,1,0,20141113,20150331
4,0,0,0,0,0,1,1,20141113,20150331
3,0,0,0,0,0,0,1,20141113,20150331
2,0,0,0,0,0,1,0,20141113,20150331
1,1,1,1,1,1,0,0,20141113,20150331
8,0,0,1,0,0,0,0,20141113,20150331
